WaterbodyID,COMID_Final,Outlier_COMID,DIST_Catv2,DistCat_trim,Alkalinity_uEqL,Aluminum_ugL,Arsenic_ugL,Chloride_mgL,Color_Apparent_PCU,Color_True_PCU,Conductivity_uScm,Copper_ugL,DO_mgL,DO_SAT_pct,E_coli_CFU100mL,Enterococcus_CFU100mL,Fecal_Coliform_CFU100mL,Hardness_mgL,Iron_ugL,Lead_ugL,Manganese_ugL,pH_None,Selenium_ugL,Sodium_mgL,Temperature_Water_DegC,TN_mgL,TP_mgL,Zinc_ugL,Al2O3Cat,AvgPredEC,BFICat,ClayCat,ElevCat,InorgNWetDep_2008Cat,IWI_v2_1,K2OCat,KffactCat,Na2OCat,OmCat,pcSLOPE,PctForest2019Ws,PctImp2019Ws,PctUrban2019Ws,PctWetland2019Ws,RockNCat,RunoffCat,SandCat,TmeanCat,WetIndexCat,WsAreaSqKm
TtID_5875791,5875791,No,HighStrs,Strs,3224.484,,,16875,,,46096.33333,,6.46667,83.16667,12.5,56.33333,30.5,5025,,,,7.66667,,,19.63333,,,,14.4311,59.8718232,54,2.49,1.95,3.5487,0.616379926,3.3633,0.11,2.7317,0.27,1.285714,37.44,14.98,28.81,5.81,7.468,700,79.106,10.00840473,782.25,5.4117
TtID_5875879,5875879,No,Strs,Strs,,,,,,,,,,,2208,1376.66667,,,,,,,,,,0.545,,,14.4311,61.43867403,55.204,2.3579,9.0247,3.7577,0.495192397,3.3633,0.1419,2.7317,0.9209,0.075235,14.32,26.18,48.31,13.67,9.3849,700,73.8073,10.14686678,883.4969,1.3824
TtID_5876067,5876067,Yes,Ref,Ref,,,,,,,157.4,,6.19231,64.38462,140,,198,,,,,5.7,,,17.08462,1.54,0.1254,,15.0795,38.49171271,54,4.99,32.7234,3.8271,0.781070586,3.8616,0.19,3.5389,1.45,0.439807,52.14,3.49,7.21,29.46,16.1293,679.4485,55.7,10.18388496,914.9563,6.5493
TtID_5876075,5876075,No,Strs,Strs,,,,,,,471.25,,8.60769,98.15385,233,292,520,,,,,6.74,,,20.73077,0.905,0.0586,,15.0795,48.93535912,54,5.6019,11.551,3.6112,0.602467288,3.8616,0.19,3.5389,1.5905,0.118315,41.2,10.29,19.77,22.1,14.7742,700,53.4675,10.02714173,893.4021,17.1306
TtID_5876091,5876091,No,SomeStrs,Strs,,,,,,,,,,,61,,,,,,,,,,,,,,12.9348,53.7839779,54,3.2726,39.6127,3.663,0.610342275,3.3732,0.18,2.7974,1.132,0.445991,12.59,26.74,42.57,26.88,9.5164,700,67.4191,10.17103396,1011.2667,3.6765
TtID_5876097,5876097,No,Strs,Strs,,,,,,,,,,,,31,,,,,,,,,,,,,9.7306,54.90773481,55,3.7281,10.5927,3.6586,0.568830564,1.9577,0.1872,1.4555,1.2327,0.001,28.97,17.11,30.74,21.9,16.1053,700,61.833,10.22710503,1172.3574,168.9264
TtID_5876117,5876117,No,Strs,Strs,,,,,,,,,,,49,,,,,,,,,,,,,,15.0795,44.32154696,54,2.35,28.0534,3.6026,0.59342172,3.8616,0.18,3.5389,0.96,0.511514,23.69,20.91,39.33,17.37,14.8697,700,72.0216,10.15431867,850.0862,2.6937
TtID_5876123,5876123,No,SomeStrs,Strs,433.264,,,81.75,,,327.16667,,6.63889,73.05556,267.21053,137.75,337.22222,40.6,,,,6.26667,,,19.84444,1.42,0.0583,,13.866,38.09779006,54,4.1337,18.8714,3.595,0.620993018,3.4296,0.1865,3.0663,1.2904,0.511159,36.24,13.26,23.16,26.61,15.3245,700,61.2226,10.16103478,853.577,24.2199
TtID_5876125,5876125,No,Strs,Strs,,,,,,,,,,,341.6,,,,,,,,,,,,,,13.8987,54.6519337,54,2.3928,40.2097,3.665,0.614190906,3.6357,0.183,3.1454,0.9679,0.374127,15.47,28.98,47.04,23.64,7.4998,642.5901,71.2236,10.14021442,913.5353,4.2219
TtID_5876131,5876131,No,Strs,Strs,348.39,,,,,20,478.255,,,,381.8,,,,,,,6.78,,,21,1.276,0.021,,8.7641,52.28950276,54,2.3556,26.2526,3.6158,0.53991747,1.6136,0.18,1.0791,0.9668,0.181681,14.5,25.01,46.91,19.17,13.6221,700,70.9338,10.13129476,940.3765,9.513
TtID_5876137,5876137,No,Strs,Strs,,,,,,,,,,,866.72,,,,,,,,,,,,,,8.7641,52.02430939,54,2.35,23.0107,3.6116,0.567486156,1.6136,0.18,1.0791,0.96,0.439215,16.26,22.21,42.2,21.02,13.3436,700,72.09,10.12373378,914.0678,16.0866
TtID_5876139,5876139,No,SomeStrs,Strs,1099.824,,,137.5,,,569.41667,,8.23333,85.88889,265,803.33333,425.55556,77.4,,,,6.88333,,,17.33889,1.294,0.0475,,14.7801,45.84033149,53.9511,3.9706,19.6579,3.6029,0.72235004,3.755,0.1825,3.4223,1.2608,0.923848,22.59,19.28,31.56,29.49,14.4987,700,62.0963,10.14206135,849.5309,2.5056
TtID_5876141,5876141,No,Strs,Strs,,,,,,,,,,,672.32,,,,,,,,,,,,,,8.7641,56.39005525,54,2.35,21.8621,3.6158,0.595256129,1.6136,0.18,1.0791,0.96,0.562622,16.82,24.84,41.24,27.58,11.5374,700,72.09,10.09731569,919.3868,10.8243
TtID_5876143,5876143,No,Strs,Strs,433.264,,,84.25,,,341.77778,,6.76,71.4,670.28571,1566.66667,831.22222,42.8,,,,6.27778,,,17.87333,1.48,0.07469,,10.8907,54.31712707,54,2.35,25.0121,3.6037,0.556168519,2.3706,0.18,1.9074,0.96,0.001,17.12,23.12,41.49,23.29,15.7332,700,72.09,10.11349926,893.2319,28.7658
TtID_5876147,5876147,No,Strs,Strs,1108.156,,,98.25,,,542.4,,7.27857,81,393.33333,6933.33333,677.77778,82,,,,6.83,,,20.8125,6.02,0.2577,,9.7411,55.4839779,54,2.35,24.0731,3.6276,0.514667869,1.9871,0.18,1.4467,0.96,0.008882,18.74,29.19,47.83,19.16,11.6093,700,72.009,10.06639807,930.4079,22.3551
TtID_5876149,5876149,No,Strs,Strs,549.912,,,53.25,,,255,,7.6,85.44444,334.53846,3586.66667,613.33333,35,,,,6.65,,,21.45556,1,0.0311,,9.0737,57.97624309,53.959,3.2879,28.3926,3.638,0.498282218,1.7492,0.1834,1.1869,1.1274,0.27722,16.85,32.91,53.09,14.98,11.6477,694.1423,66.1238,10.04365259,879.1467,15.7338
TtID_5876153,5876153,No,Strs,Strs,649.896,,,607.5,,,457.33333,,5.92353,65.94118,239.44444,373.6,357.44444,168,,,,6.54444,,,20.89412,1.126,0.0596,,9.55,55.60718232,53.2952,4.9784,9.2202,3.5836,0.541951194,1.8934,0.19,1.3852,1.4469,0.001,25.45,18.74,33.74,20.91,13.7791,700,56.0674,10.15164257,1012.8687,122.4225
TtID_5876155,5876155,No,Strs,Strs,641.564,,,89.5,,,365.6,,8.3,93.2,10.25,505,59.75,51,,,,7.02,,,22.16,,,,8.7641,55.83701657,52,4.99,6.513,3.6303,0.529399839,1.6136,0.19,1.0791,1.45,0.207939,23.16,21.43,37.96,20.38,14.7678,700,55.7,10.13491991,930.9106,79.866
TtID_5876169,5876169,No,SomeStrs,Strs,,85.33333,0.53667,74,,47.4,330.33333,1.56667,7.86667,88,154.6,,,,303.66667,0.56667,65,6.56667,1,,17.94,0.8475,0.028,5,14.4311,40.70110497,53,3.8305,25.3122,3.5379,0.672460018,3.3633,0.1756,2.7317,1.0041,0.294578,30.88,20.26,33.78,14.78,13.2289,700,66.3297,10.14596641,854.4409,5.3703
TtID_5876191,5876191,No,,Unknown,333.28,,,49.5,,,203.91667,,4.24091,46.72727,72,22.66667,101,22.5,,,,6.05,,,20.51364,0.728,0.08737,,,,,,,,,,,,,,,,,,,,,,,
TtID_5876231,5876231,No,SomeStrs,Strs,1183.144,,,3625,,,9029.33333,,6.38333,71.66667,1297.5,3750,412.5,935,,,,6.66667,,,20.15,,,,14.4311,54.76850829,54,2.49,4.9638,3.5487,0.715513591,3.3633,0.11,2.7317,0.27,0.001,34.75,14.5,29.88,4.29,12.2869,700,84,10.06505819,846.882,2.4579
TtID_5876247,5876247,No,,Unknown,,,,,,417.27273,,,,,,,,,,,,,,,,1.34417,0.10358,,,,,,,,,,,,,,,,,,,,,,,
TtID_5876349,5876349,No,SomeStrs,Strs,3266.144,,,16950,,,,,,,6.25,30,35.5,4925,,,,,,,,,,,9.1237,56.1718232,54.9789,5.2199,10.369,3.6047,0.580410701,1.7417,0.1894,1.2192,1.5364,0.347705,31.9,15.73,28.4,21.68,14.523,700,52.6912,10.0158492,842.117,190.3158
TtID_5876399,5876399,No,SomeStrs,Strs,2574.588,,,12125,,,31103.25,,6.92,82.2,14.75,105,56,3650,,,,7.2,,,19.42,,,,11.3263,55.21325967,54.8717,4.99,11.7641,3.6217,0.57631449,2.5257,0.19,2.0771,1.45,0.001,31.15,16.15,29.08,21.67,16.4583,700,55.7006,10.23968356,988.0488,182.4633
TtID_5876411,5876411,No,Strs,Strs,3249.48,,,16300,,,44935.66667,,7.65,94.66667,11,158.33333,60.75,3625.5,,,,7.51667,,,18.01667,,,,10.0587,63.41381215,54.9883,8.3436,14.868,3.3957,0.629136093,2.0134,0.1379,1.4566,2.2053,0.016052,36.26,11.63,21.53,23.14,11.2582,700,49.6069,10.01251016,909.133,43.695
TtID_5876491,5876491,No,SomeStrs,Strs,1391.444,,,1775,,,12989.69231,,7.22941,70.875,65.375,35.42857,103.33333,562.5,,,,7.68333,,,21.4,0.79333,0.103,,14.4311,61.82375691,53.9567,15.2939,1.897,,0.523424537,3.3633,0.0838,2.7317,3.7719,0.001,23.07,12.59,23.8,33.49,16.955,700,40.1399,9.930373775,1031.5794,18.9198
TtID_5876605,5876605,No,Strs,Strs,,,,,,,,,,,,,,,,,,,,,,,0.13,,8.7641,61.26464088,53,2.659,26.0686,3.6924,0.474048322,1.6136,0.188,1.0791,1.0174,0.001,34.77,8.9,16.94,14.79,14.9882,700,69.139,10.05908874,947.7846,6.6096
TtID_5876949,5876949,No,Strs,Strs,,,,,,,,,,,,,,,,,,,,,14.35,,,,14.4311,,60,4.5301,7.3655,2.597,0.7988999,3.3633,0.11,2.7317,0.8307,0.001,70.8,6.37,11.67,8.04,73.9624,700,72.2282,10.50760212,785.6606,2.0835
TtID_5878571,5878571,No,Strs,Strs,,,,,,,151.4,,8.81818,101.54545,135,,246,,,,,6.76,,,22.13636,0.826,0.0408,,14.4311,39.0519337,55.331,2.5866,35.664,3.7131,0.523078176,3.3633,0.1262,2.7317,0.2718,0.63616,49.75,9.51,16.16,2.01,13.109,700,83.0961,10.09893426,774.7848,23.9553
TtID_5878619,5878619,No,HighStrs,Strs,,,,,182,144,108,,8.40667,91.73333,321.66667,414,350.83333,11,,,,6.03333,,,19.79333,0.706,0.0918,,14.4311,48.60828729,56.1591,2.4856,16.8568,3.6772,0.368710492,3.3633,0.1137,2.7317,0.2903,0.335716,35.65,6.69,12.95,18.33,14.1938,700,83.5183,10.10448124,892.6236,147.1158
TtID_5878647,5878647,No,SomeStrs,Strs,,,,,,,,,,,,,,,,,,,,,,,0.13,,14.4311,39.42596685,62.2391,2.7952,11.2471,2.8565,0.694197078,3.3633,0.1557,2.7317,0.2776,0.001,47.72,6.88,14.5,7.19,90.8633,700,81.7208,10.19334221,887.8152,10.1646
TtID_5878661,5878661,No,Strs,Strs,,,,,,,,,,,59.66667,,,,,,,,,,,,,,14.7829,41.10110497,56.8251,5.1938,24.3263,4.0266,0.51364903,3.5854,0.1932,3.4574,0.7958,0.01564,39.56,9.92,19,20.19,12.6162,700,52.6536,10.36353337,860.1612,45.2322
TtID_5878689,5878689,No,Strs,Strs,,,,,,,,,,,,,,,,,,,,,16,,,,14.4311,38.9038674,61,2.675,10.1178,3.179,0.56085917,3.3633,0.1501,2.7317,0.3215,0.281007,48.68,10.38,22.66,1.46,93.0183,700,80.9161,10.28850245,870.285,33.4584
TtID_5878721,5878721,No,Strs,Strs,,,,,,15,101.66667,,8.33333,87.16667,61.66667,,,,,,,6.43333,,,16.25,0.492,0.026,,14.4311,53.00994475,62.8411,3.37,18.5003,3.2481,0.646415893,3.3633,0.27,2.7317,0.49,0.305033,51.44,8.84,18.16,1.61,88.8342,700,68.8564,10.32050074,859.9363,38.1321
TtID_5878723,5878723,No,Strs,Strs,,,,,44.85714,32.33333,241.11111,,8.10667,87.26667,1414.83448,504.375,437.5,21,,,,7.14444,,,19.33333,1.65286,0.06314,,14.1184,51.52209945,57,5.0073,26.2593,3.8591,0.449581577,3.6221,0.1732,3.3084,0.6652,0.705077,6.26,40.85,66.34,5.39,11.4428,700,51.2568,10.62174579,862.7242,8.955
TtID_5878727,5878727,No,SomeStrs,Strs,,46.66667,0.83667,,,18,86.33333,0.76667,7.8,82.66667,169,,,18,,0.14,,6.2,2.6,,16.8125,0.424,0.025,1.86667,14.4311,44.32596685,62.5041,3.3049,24.2698,3.3083,0.617250691,3.3633,0.2426,2.7317,0.4517,0.187108,49.15,10.53,21.1,1.18,88.564,700,70.8249,10.32555042,852.2857,43.3935
TtID_5878731,5878731,No,Strs,Strs,,46.66667,0.85333,,,42.1,84.33333,0.53,8.21667,88.66667,153.23077,,,17.2,,0.14,,6.26667,2.6,,17.1375,0.44,0.0348,0.82,14.4311,48.96850829,64.1523,3.3138,23.042,3.2622,0.578908837,3.3633,0.2624,2.7317,0.4763,0.133591,32.24,19.25,36.71,3.04,81.1105,700,69.8673,10.28683351,883.5622,28.9728
TtID_5878733,5878733,No,Strs,Strs,,53.33333,0.83667,,,30.8,,0.50667,,,105.16667,,,15.33333,,3.4,,,2.6,,14.6,1.366,0.0178,1.8,14.4311,47.55414365,66.2989,3.2451,16.8393,3.238,0.615370121,3.3633,0.2642,2.7317,0.4591,0.281107,32.13,20.72,44.68,5.14,84.3538,700,71.0519,10.38768188,908.97,4.5882
TtID_5878737,5878737,No,Strs,Strs,,46.66667,0.85,,,20.6,94,0.98,8.98333,99.33333,122.5,,,18,,0.14,,6.5,2.6,,19.48333,0.618,0.033,1,14.4311,45.29116022,63.5664,3.37,8.3195,3.2129,0.563713612,3.3633,0.27,2.7317,0.49,0.207684,47.69,11.09,22.31,1.64,85.3248,700,68.81,10.45539847,909.3143,45.2772
TtID_5878847,5878847,Yes,SubRef,Ref,,60,0.96833,,,140.6,182.28571,2.16,6.15625,64,171.58333,,,25.3,,0.18167,,5.96429,2.6,,16.525,0.589,0.0904,1.08333,14.4311,64.97513812,59,7.9618,14.106,2.6185,0.791037748,3.3633,0.0672,2.7317,1.7817,0.001939,53.21,4.74,9.28,18.2,87.7477,700,64.7318,10.67662486,877.8377,18.4716
TtID_5878861,5878861,No,Strs,Strs,,,,,196,150,105.5,,5.05,54.83333,326.66667,413,306.66667,,,,,5.625,,,19.93333,0.852,0.1162,,14.4311,49.5679558,55.294,3.7673,27.4036,3.7672,0.383318769,3.3633,0.1734,2.7317,1.2733,0.056055,30.55,6.05,12.02,26.05,15.5541,698.4264,65.4833,10.00553186,973.8436,79.6005
TtID_5878883,5878883,No,Strs,Strs,,,,,169,144,116,,5.50833,61.91667,324.16667,373,326.66667,,,,,5.8,,,21.375,0.68,0.0914,,14.4311,46.87845304,57,3.3448,11.7341,3.8441,0.433980292,3.3633,0.1697,2.7317,1.0052,0.040699,42.73,3.76,7.6,25.43,14.8644,700,68.3294,10.27778037,907.7143,81.6426
TtID_5878887,5878887,No,Strs,Strs,,,,,,134.4,,,,,576.83333,,,,,,,,,,,1.16,0.144,,14.4311,78.27845304,61,4.546,10.3056,2.9165,0.633716284,3.3633,0.093,2.7317,0.8154,0.055842,20.82,19.23,39.01,24.91,85.0087,700,76.2485,10.25002079,876.622,10.8981
TtID_5878889,5878889,No,Strs,Strs,,,,,72,56.25,92.22222,,7.44,81.53333,322.41667,637,513.33333,17,,,,6.36667,,,20.06667,0.878,0.0534,,14.5809,41.02762431,56.3296,5.5746,24.2097,4.0673,0.500654572,3.9512,0.2046,3.4908,0.8256,0.136282,42.7,7.81,15.53,20.67,15.1282,700,51.7315,10.28344663,877.6192,36.5751
TtID_5878893,5878893,No,Strs,Strs,,9.43333,1.03667,24.25,,16.22222,115.44444,0.53,7.94444,90.55556,110.36364,,,,107.33333,0.2,29,6.31111,1.66667,,20.33077,0.478,0.0295,5,14.4311,39.54917127,65.8435,2.49,13.2379,2.8669,0.636908168,3.3633,0.11,2.7317,0.27,0.147828,41.49,10.2,21.06,3.92,92.4,700,83.976,10.17243813,843.2676,27.5085
TtID_5878897,5878897,No,Strs,Strs,,,,,89,61.25,4220.14286,,7.13,79.2,1001.2,858,1100.83333,,,,,6.6,,,20.86,1.185,0.10375,,14.3862,42.5,57,4.71,16.1443,3.9396,0.492353382,4.3038,0.16,3.523,0.64,0.610328,36.87,13.32,23.77,19.06,9.0111,700,52.6257,10.35097517,865.8924,48.7161
TtID_5878903,5878903,No,SomeStrs,Strs,,167.5,1.4625,11.125,140,157.22222,89.63333,1.175,6.95517,75.13793,253.81818,395.5,348.33333,,867.5,1.03,72.25,5.89048,2,,19.40303,0.8425,0.0562,5,14.4348,37.74033149,56.8336,4.7523,17.47,4.0036,0.568758366,4.022,0.2044,3.3763,0.921,0.08231,44.4,3.02,6.44,29.24,15.0191,699.9772,56.6775,10.35587464,889.0771,63.8829
TtID_5878909,5878909,No,Strs,Strs,,42.3,1.86667,21.75,,19.4,121.11111,0.58667,6.8,75.33333,120.90909,,,,413.33333,0.20333,283,6.34444,1.66667,,19.94615,1.035,0.05982,5,14.4311,45.87348066,62.0482,2.7807,15.2169,3.223,0.529525438,3.3633,0.2181,2.7317,0.3427,0.302357,36.28,16.22,34.53,5.42,89.2487,700,78.6941,10.33961867,843.2027,8.2089
TtID_5878911,5878911,No,Strs,Strs,,190,1.21333,65,196.11111,196.25,255.35714,3.36667,6.08947,66.89474,1570.9375,304.44444,387.72727,,1170,1.28,140,6.13571,2,,19.54545,1.07231,0.07167,6.2,14.137,54.9480663,56.9936,5.1634,27.9533,3.8872,0.585531943,3.623,0.1666,3.1575,1.6485,0.096856,24.5,17.16,27.45,31.62,13.5921,700,54.122,10.54132508,911.3352,72.099
TtID_5879039,5879039,No,Strs,Strs,,,,,90,55.66667,116.75,,6.2,68,339,431.25,303,,,,,6.45,,,20.38333,0.9075,0.04075,,15.852,40.95469613,57,2.35,9.7628,4.0444,0.502791733,1.6497,0.18,3.2807,0.96,0.196335,42.47,7.72,15.37,21.15,15.4098,700,70.4154,10.30959762,890.6106,37.0512
TtID_5879193,5879193,No,Strs,Strs,,,,,,,,,,,408.5,52,,,,,,,,,,,,,14.4311,58.61104972,55.5914,2.35,6.3129,3.7549,0.50747504,3.3633,0.18,2.7317,0.96,0,36.23,10.49,20.12,19.25,10.1998,700,72.5211,10.14293761,814.3595,71.6103
TtID_5879199,5879199,No,Strs,Strs,,,,,,,,,,,216.5,399,,,,,,,,,,0.65,,,14.4311,47.51878453,56.4572,2.7486,41.0003,3.7758,0.449327681,3.3633,0.148,2.7317,0.275,0,13.1,42,68.25,1.4,10.3369,700,81.8302,9.950246426,810.382,9.3573
TtID_5879775,5879775,No,Strs,Strs,,,,,,,,,,,203.25,95.77778,,,,,,,,,,,,,14.4311,69.70165746,56.9038,2.5194,3.5798,3.5885,0.544188567,3.3633,0.1103,2.7317,0.2821,0,16.01,25.9,50.51,15.53,11.7711,700,82.8895,10.28324293,938.0848,2.2365
TtID_5879787,5879787,No,Strs,Strs,,,,,,,,,7.33333,,324.57143,294,,,,,,,,,19.20333,,,,14.3545,39.50828729,57,4.602,14.6473,3.8662,0.550430774,3.8322,0.1887,3.0689,1.3747,0,41.95,4.79,9.59,28.64,13.5616,700,58.1857,10.54055164,920.077,70.857
TtID_5881399,5881399,No,Strs,Strs,,,,,108.75,73.33333,46.83333,,8.33636,89.27273,46.25,93.33333,97.5,,,,,5.96667,,,18.56364,0.66,0.076,,14.2833,41.2,54.4287,3.5407,39.8765,3.9576,0.77366006,4.49,0.2013,3.54,0.9089,0.668944,64.85,0.7,1.47,18.99,15.4263,700,64.7119,10.6406892,874.9065,20.7684
TtID_5881405,5881405,Yes,SubRef,Ref,,,,,,,60.3,,9.1,80,,,,,,,,5,,,10,,,,14.4812,36.19668508,54.9295,4.4902,33.565,3.9857,0.754788095,3.0957,0.1836,2.8783,1.8891,0.063863,57.35,2.49,5.17,25.78,15.5154,700,59.1891,10.4820937,907.392,22.1562
TtID_5881407,5881407,No,HighStrs,Strs,,,,,,,78.9,,9.8,89,,,,,,,,6.4,,,11.4,,,,14.4122,41.03977901,55,2.35,25.6318,3.9499,0.786489965,3.5816,0.18,3.1089,0.96,0.037093,62.81,1.2,2.45,19.83,16.5231,700,72.0339,10.51336006,918.496,22.1904
TtID_5881409,5881409,No,Strs,Strs,,,,,133,83.75,72.42857,,7.30833,78,166,82.5,182,,,,,5.7,,,18.58333,0.71,0.0502,,14.5259,38.96464088,55.4373,3.1251,22.1845,3.9556,0.746070448,2.7804,0.18,2.7287,0.9278,0.001,57.46,2.35,4.75,23.62,15.2194,700,65.9638,10.4964981,948.8848,48.6225
TtID_5881439,5881439,No,SomeStrs,Strs,,,,59.6875,180,171.14286,247.69565,,8.71786,92.28571,307,238.75,259,,,,,6.14783,,,17.55,1.5319,0.04943,,13.8466,50.66464088,54,6.44,16.905,3.8541,0.688612369,4.5798,0.22,3.6282,0.79,0.765614,41.34,9.56,17.63,29.72,15.5547,700,45.66,10.61192861,819.7443,24.1488
TtID_5881441,5881441,No,Strs,Strs,,,,,142,117.5,117.57143,,8.03333,87.5,167,363.75,334,,,,,6.12857,,,19.75,0.664,0.0406,,14.2172,38.81325967,55.3938,5.6151,22.7503,3.8432,0.683370341,3.1687,0.2195,2.9402,0.8258,0.279475,50.33,4.94,9.3,26.16,14.8147,700,51.6903,10.59390787,851.3541,72.9072
TtID_5881451,5881451,No,HighStrs,Strs,,,,,158,108.75,3621,,8.28,91.8,239,240,323,,,,,6.28,,,20.8,1.0025,0.078,,14.0816,41.09779006,54,6.44,9.8084,3.8638,0.660557438,3.5466,0.22,3.1284,0.79,0.082651,47.69,6.4,11.96,26.52,14.8184,700,45.66,10.61317278,866.287,105.0372
TtID_5881465,5881465,No,SomeStrs,Strs,,,,,141.5,108.33333,208.16667,,8.05556,81.22222,280.57143,526.25,364,,,,,6.26667,,,16.2,1.3725,0.06025,,13.7,53.61436464,54,6.44,23.1054,3.6961,0.687122393,4.61,0.22,3.6578,0.79,1.168243,50.45,6.24,12.23,22.37,14.3993,700,45.66,10.67532494,840.8227,9.864
TtID_5881467,5881467,Yes,Ref,Ref,,,,,,,,,,,187.2,,,,,,,,,,,,,,14.194,40.49337017,55.5638,5.2062,32.9308,3.763,0.770914919,3.2333,0.22,2.9724,0.8414,1.480901,68.53,2.23,4.81,13.02,14.4159,700,53.7298,10.6617768,833.4812,1.4589
TtID_5881477,5881477,No,SomeStrs,Strs,,,,,55,47.66667,274.5,,8.53333,85.33333,503.15385,793.75,662,,,,,6.7,,,15.74444,1.5125,0.05875,,13.7,62.17513812,54,6.44,34.8104,3.742,0.585727163,4.61,0.22,3.6578,0.79,1.793018,53.49,6.7,14.01,16.44,14.3815,700,45.66,10.68672011,844.4518,2.2986
TtID_5881481,5881481,No,SomeStrs,Strs,,,,,,,,,,,202.8,,,,,,,,,,,,,,13.7,59.45248619,54,6.44,39.9078,3.7353,0.627701922,4.61,0.22,3.6578,0.79,1.729339,57.81,9.14,17.39,12.58,14.2873,700,45.66,10.65588305,850.4755,2.0178
TtID_5881483,5881483,No,HighStrs,Strs,,,,,67.5,57,220.375,,9.27273,90.81818,433.2,728.75,629,,,,,6.55,,,14.78182,2.0925,0.07125,,13.7807,64.50773481,54,6.44,4.0767,3.6898,0.592913565,4.5934,0.22,3.6415,0.79,0.411764,53.91,7.6,15.1,15.32,14.4825,700,45.66,10.66172482,917.1818,4.5045
TtID_5881497,5881497,No,Strs,Strs,,,,,,,,,,,,,,,,,,,,,19,,,,13.7,54.96298343,57.6584,2.6484,16.6284,3.7183,0.581811981,4.61,0.1859,3.6578,0.9476,0.40805,24.79,16.77,26.84,31.46,14.8226,700,68.6093,10.63560114,824.3357,74.0853
TtID_5881517,5881517,No,Strs,Strs,,,,,112.5,90,101.625,,9.45,92.25,358,422.5,371,,,,,6.1875,,,14.68333,3.9,0.07325,,14.2833,66.03812155,54.3913,6.44,16.1095,3.5651,0.515895636,4.49,0.22,3.54,0.79,1.378486,50.55,2.31,4.77,22.68,13.838,700,45.66,10.6360764,843.2663,10.1205
TtID_5881529,5881529,No,Other,Other,,,,,,,,,,,879.71429,940,,,,,,,,,,,,,14.2833,53.51767956,55,6.44,24.2021,3.5611,0.703901753,4.49,0.22,3.54,0.79,1.086028,45.66,3.76,8.14,24.73,13.0927,700,45.66,10.57957075,820.0041,2.8422
TtID_5881705,5881705,Yes,SubRef,Ref,,,,,192,162.5,75,,5.5,61.33333,25,45,44,,,,,5.76667,,,20.5,0.8,0.0434,,14.3604,36.57016575,54.3762,4.9923,46.0159,4.0196,0.723445619,3.9466,0.2097,3.2821,1.2416,0.044419,61.33,2.59,5.32,21.21,16.7586,688.0644,54.7051,10.44848219,885.2392,15.1749
TtID_5881719,5881719,No,SomeStrs,Strs,,,,,199.2,133.75,263.4,,7.96,83.2,143,126.25,158,,,,,5.4,,,18.22,1.258,0.0696,,14.2833,44.31767956,54.5368,6.44,40.6023,3.9005,0.708476986,4.49,0.22,3.54,0.79,0.569935,50.77,8.18,15.06,24.96,15.48,700,45.66,10.72935408,851.7731,13.4127
TtID_5881721,5881721,No,SomeStrs,Strs,,346.66667,1.16667,52,,408,228.33333,1.36667,7.9,87,1863,,,,1140,2.5,75,5.33333,2,,17.14,2.525,0.0745,6.53333,14.2788,57.6878453,54.0872,6.44,48.5299,3.9314,0.653034833,4.4909,0.219,3.5409,0.79,0.731153,28.83,11.11,20.27,36.92,13.9261,700,45.66,10.82013725,929.5213,9.6462
TtID_5881749,5881749,No,Strs,Strs,173.6375,168,,28.72882,,154,147.79824,,7.71667,84.66667,23,,,,,,,6.5875,,16.735,18.55625,105.64229,16.14178,,14.0887,55.37900552,53.218,6.44,20.0068,3.6081,0.558938187,4.53,0.22,3.5793,0.79,0.613472,32.91,15.42,23.44,15.75,14.0913,700,45.6558,10.63497485,854.8265,102.0852
TtID_5881923,5881923,No,Strs,Strs,,,,,,33,269.2,,7.34,84.6,43.33333,,,,,,,6.84,,,22.62,0.648,0.0448,,14.2688,63.8839779,54.4601,4.71,48.9182,4.0241,0.397162831,4.485,0.16,3.5321,0.64,0.001,0.73,79.53,95.31,0.99,7.527,692.2428,52.5,10.91728158,864.4898,4.2993
TtID_5881973,5881973,No,,Unknown,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,
TtID_5882171,5882171,Yes,SubRef,Ref,,,,,,,,,,,,,,,,,,,,,14.86667,,,,12.3204,54.62099448,62,9.53,40.8136,3.0407,0.827484837,2.1188,0.2,1.1804,0.22,1.766304,74.87,1.18,1.73,10.12,80.5106,700,58.98,10.12109732,804.817,3.3237
TtID_5882175,5882175,No,,Unknown,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,
TtID_5882205,5882205,No,,Unknown,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,
TtID_5882377,5882377,No,SomeStrs,Strs,,,,,,,,,,,,,,,,,,,,,14.1,,,,12.3204,56.85635359,62.1613,9.53,42.5486,3.0289,0.83741416,2.1188,0.2,1.1804,0.22,0,75.24,1.18,1.76,5.26,82.1257,700,58.98,10.15949093,774.1534,8.5968
