WaterbodyID,COMID_Final,Outlier_COMID,DIST_Catv2,DistCat_trim,Alkalinity_uEqL,Aluminum_ugL,Arsenic_ugL,Chloride_mgL,Color_Apparent_PCU,Color_True_PCU,Conductivity_uScm,Copper_ugL,DO_mgL,DO_SAT_pct,E_coli_CFU100mL,Enterococcus_CFU100mL,Fecal_Coliform_CFU100mL,Hardness_mgL,Iron_ugL,Lead_ugL,Manganese_ugL,pH_None,Selenium_ugL,Sodium_mgL,Temperature_Water_DegC,TN_mgL,TP_mgL,Zinc_ugL,Al2O3Cat,AvgPredEC,BFICat,ClayCat,ElevCat,InorgNWetDep_2008Cat,IWI_v2_1,K2OCat,KffactCat,Na2OCat,OmCat,pcSLOPE,PctForest2019Ws,PctImp2019Ws,PctUrban2019Ws,PctWetland2019Ws,RockNCat,RunoffCat,SandCat,TmeanCat,WetIndexCat,WsAreaSqKm
TtID_10294688,10294688,No,SomeStrs,Strs,,,,,,,135.85714,,9.525,94.25,25.6,,52,,,,,7.82857,,,14.725,,,,11.9356,45.35027624,45.2694,5.71,344.4268,4.7412,0.635908724,1.9297,0.23,1.5035,1.04,3.943189,87.29,0.48,0.88,0.18,152.5336,862,38.7694,7.102493071,679.7877,5.8635
TtID_10294706,10294706,No,Strs,Strs,,10,0.5,3,5,,75,0.29,9.56667,98.33333,91.16667,,,,53.33333,0.2,1.5,7.73333,1,,14.42,0.38,0.0178,7.33333,14.4372,44.98176796,47,12.897,293.3722,4.6561,0.515730396,2.9503,0.292,1.1777,0.8243,4.43973,76.99,0.58,1.22,0.23,138.2544,861.8176,26.9945,7.368145206,688.3947,4.3695
TtID_10294710,10294710,No,Strs,Strs,,,,,18.4,16.25,103.75,,9.925,104,271,,308,,,,,7.825,,,17.725,0.274,0.0084,,11.712,53.80883978,45,5.7264,215.3679,4.7899,0.703661101,1.8901,0.2522,1.4803,0.7201,0.754977,83.07,0.85,1.64,3.18,148.2544,862,40.559,7.687217785,720.3422,140.166
TtID_10294712,10294712,No,Strs,Strs,,10,0.5,7.2,11.3,15,86.6625,0.87,9.5875,102.625,108.36364,,134.28571,,53.33333,0.2,3.8,7.825,1,,18.13333,0.198,0.006,7.33333,12.0507,36.72596685,45.1462,5.7242,282.959,4.7801,0.642757723,1.9493,0.25,1.5167,0.7591,1.049789,84.44,0.61,1.1,2.32,154.6174,862,40.372,7.41483146,698.3695,79.5888
TtID_10294732,10294732,No,Other,Other,,,,,,,53.1,,9.2,95,,,,,,,,7.3,,,16.9,,,,13.378,36.87127072,45.8597,6.1639,459.2853,4.7229,0.679654177,1.9165,0.23,1.7037,2.1139,3.905289,85.94,0.76,1.41,1.49,138.6548,862,41.8971,6.762421779,729.7914,11.5749
TtID_10294734,10294734,Yes,SubRef,Ref,,,,,,,85.2,,8.53333,90.66667,,,,,,,,5.53333,,,18.66667,,,,14.402,47.37071823,45.903,6.175,454.0087,4.7678,0.754922714,1.5379,0.23,2.3389,2.1353,3.465012,89.38,0.26,0.37,1.43,143.7405,862,41.8555,6.744227787,713.7578,7.9452
TtID_10294750,10294750,No,Other,Other,99.984,,,1,,,29.53333,,12.5,97,15,,24.54545,3.6,,,,6.26667,,,4.56667,,0.01,,14.2075,43.19226519,46,5.71,271.4817,4.7767,0.724569833,1.98,0.23,2.2759,1.04,3.417553,86.63,0.64,1.15,1.86,161.7954,862,38.76,7.228071902,643.3664,35.5572
TtID_10294768,10294768,No,Strs,Strs,166.64,,,5.33333,,,40.26667,,12.9,95,15.6,,14.09091,8.1,,,,6.16667,,,2.43333,,0.01667,,14.2075,54.52099448,46,5.7305,328.0259,4.8359,0.761724128,1.98,0.23,2.2759,1.0832,0.353448,83.91,0.89,1.65,6.11,166.0566,862,38.9068,7.150519789,643.9023,682.5105
TtID_10294772,10294772,Yes,SubRef,Ref,,,,,,,49.5,,9.4,95,,,,,,,,7.2,,,16.6,,,,13.4911,36.88232044,45,5.73,324.0912,4.686,0.719912105,1.6543,0.23,1.8677,1.1036,2.735523,87.05,0.58,1.01,1.41,153.1764,862,38.9982,7.101895676,663.6088,20.8224
TtID_10294784,10294784,No,SomeStrs,Strs,1020.67,10,0.5,7.27227,18,,203.2375,3.4,10.02917,96.5,271.90909,,247.34286,26.96667,155,0.45333,20.33333,7.65652,1,,14.55417,0.305,0.045,7.6,12.5911,52.07513812,45.1016,5.73,294.3714,4.7418,0.672179743,2.0438,0.26,1.5747,0.64,0.353963,83.65,0.79,1.51,2.82,145.7321,862,41.0109,7.41687861,701.8411,233.3178
