"WaterbodyID","DistCat","DistCat_trim","DistCat2","Alkalinity_uEqL","Chla_ugL","Chloride_mgL","Conductivity_uScm","DO_bttm_mgL","DO_mean_1mBlwThrmclin_mgL","DO_mean_hypo_mgL","DO_mean_surf_mgL","DO_mgL","DO_SAT_pct","DOSAT_bttm_pct","DOSAT_mean_1mBlwThrmclin_pct","DOSAT_mean_hypo_pct","DOSAT_mean_surf_pct","NO3NO2_mgL","pH_bttm","pH_mean_1mBlwThrmclin","pH_mean_hypo","pH_mean_surf","pH_None","Temp_bttm_C","Temp_min_C","Temperature_Water_DegC","TN_mgL","TP_mgL","WsAreaSqKm","BFICat","ElevCat","Al2O3Cat","K2OCat","Na2OCat","PctImp2019Cat","KffactCat","InorgNWetDep_2008Cat","Tmean8110Cat","RunoffCat","SlopeCat","ClayCat","SandCat","OmCat","WetIndexCat","WetIndexWs","PctUrb2019Ws","PctFor2019Ws","PctWet2019Ws"
"TtID_5877795","Strs","Strs","Non_Ref",141.9325,11.92475,53.14575,199.446428571429,1.394,,,7.6033333334,5.27603668,,,,,,0.0034,6.35,,,6.586,6.27444448148148,19.74,19.74,22.0155,0.232625,8.5168875,2.1771,58,7.601575196,14.43111229,3.363332987,2.731667042,13.30220955,0.11,3.432133913,10.22957989,700,3.074314349,2.49,84,0.27,662.9522452,604.7358413,14.51012815,48.16039686,8.391897478
"TtID_5877799","Strs","Strs","Non_Ref",,24.6,,,4.0125,,,6.7375,,,46.25,,,79.5,,6.2,,,6.3125,,22.7,22.6625,,,0.1128,38.0439,57,9.515354778,14.43111229,3.363332987,2.731667042,1.590350047,0.119035005,3.840551223,10.2125344,700,2.410378393,2.575146641,81.40933775,0.310189215,989.4919584,982.5136382,7.106526933,42.46883206,24.09453289
"TtID_5877803","SomeStrs","Strs","Non_Ref",,1.5,,,-0.2,11,5.166666667,7.9,,,-2,120.5,52.33333333,99,,6.3,6.35,5.888888889,6.5,,6.8,6.8,,,0.0695,9.8316,60.73624091,25.50711319,14.43111229,3.363332987,2.731667042,1.600207684,0.137902388,2.690231898,10.11587262,700,7.707766107,2.762959502,81.96998962,0.275373832,519.3894081,545.9100146,11.04906628,64.80227023,1.501281582
"TtID_5877817","Strs","Strs","Non_Ref",111.093333333333,2.93333333333333,6.66666666666667,,1.14705882352941,4.03928571428571,2.94235294117647,8.16470588235294,,,10.9411764705882,41.6785714285714,29.8411764705882,100.294117647059,0.04,5.66470588235294,5.61428571428571,5.55617647058824,6.39411764705882,,14.2117647058824,14.1941176470588,,0.3,0.0153363636363636,1.5138,57,10.93963734,14.43111229,3.363332987,2.731667042,3.254458977,0.11,3.777043104,10.19329673,700,1.608913202,2.49,83.99035672,0.27,786.7550535,786.7550535,7.372175981,34.12604043,5.053507729
"TtID_5877827","Strs","Strs","Non_Ref",422.154666666667,6.2,,88.5666666666667,,,,,3.88888888888889,43.3333333333333,,,,,,,,,,6.07777777777778,,,21.8111111111111,,0.04375,17.7678,55.55969765,23.65459285,14.28333473,4.489999771,3.539999962,6.178148085,0.183833534,4.178105875,10.20839203,699.9285346,2.855572724,4.544001031,57.71911699,1.119564508,882.1062532,865.7025631,11.95927464,45.43612603,21.54290345
"TtID_5877881","Strs","Strs","Non_Ref",766.544,35.6,,151.5,,,,,7,79,,,,,,,,,,6.8,,,22.55,,0.0360833333333333,0.3645,56,17.64012346,14.28333473,4.489999771,3.539999962,2.358024691,0.175259259,4.185423851,10.21550187,700,3.674136607,3.965802469,63.39553086,0.889481481,958.0666667,958.0666667,5.432098765,43.95061728,8.888888889
"TtID_5877905","HighStrs","Strs","Non_Ref",449.928,7.4,,94.7444444444444,,,,,5.5,61,,,,,,,,,,6.54444444444444,,,21.5666666666667,,0.0349166666666667,19.2591,56,17.55214563,14.28485775,4.487242182,3.539748216,12.63980583,0.183184466,4.184980181,10.23889917,700,2.682988956,2.84238835,68.09257282,0.941019417,1004.300971,874.6612926,12.78097107,43.88055517,20.11776251
"TtID_5877909","Strs","Strs","Non_Ref",,2.8,,,,,,,,,,,,,,,,,,,,,,0.215,0.0115,0.9936,56,33.93526268,14.28333473,4.489999771,3.539999962,37.91485507,0.197309783,4.000136262,10.27616376,700,2.938554613,6.44,45.88216486,0.79,647.8324275,647.8324275,62.40942029,6.793478261,6.52173913
"TtID_5877915","Strs","Strs","Non_Ref",,6.2,,,-0.2,1.8,1.616666667,8,,,-2,19,17.66666667,102,,6.5,5.95,6.133333333,7.1,,11.7,11.7,,,0.0196666666666667,0.7596,61,13.73745261,14.43111229,3.363332987,2.731667042,11.29620853,0.15056872,2.84776031,10.29506962,700,6.046075395,2.991516588,80.17223934,0.27964455,687.5130332,687.5130332,25.59241706,29.85781991,1.54028436
"TtID_5877927","SomeStrs","Strs","Non_Ref",,1.4,,71.9333333333333,,,,,5.525,63.9166666666667,,,,,,,,,,6.73333333333333,,,19.3083333333333,,0.0114285714285714,3.8817,61.70136796,24.95309761,14.43111229,3.363332987,2.731667042,9.974031996,0.129137491,2.767007926,10.0574966,700,4.550084649,2.226603292,70.77958498,0.234066775,629.0051009,629.0051009,20.31068862,48.38859263,1.136100162
